ResponseId,Q1002,Q12,qname,dollars,priority,priority_other
R_58TLEFmeGVVWoZa,I have used tidymodels packages many times,I work in industry,Q5_1,0,Sparse tibbles,NA
R_58TLEFmeGVVWoZa,I have used tidymodels packages many times,I work in industry,Q5_2,50,Causal inference,NA
R_58TLEFmeGVVWoZa,I have used tidymodels packages many times,I work in industry,Q5_3,10,Improve chattr,NA
R_58TLEFmeGVVWoZa,I have used tidymodels packages many times,I work in industry,Q5_4,10,Cost-sensitive learning,NA
R_58TLEFmeGVVWoZa,I have used tidymodels packages many times,I work in industry,Q5_5,20,Stacking ensembles,NA
R_58TLEFmeGVVWoZa,I have used tidymodels packages many times,I work in industry,Q5_6,0,Spatial machine learning ,NA
R_58TLEFmeGVVWoZa,I have used tidymodels packages many times,I work in industry,Q5_10,10,Ordinal regression,NA
R_58TLEFmeGVVWoZa,I have used tidymodels packages many times,I work in industry,Q5_12,0,Other,NA
R_6AKKwbysaC7EV8o,I have used tidymodels packages many times,I work in industry,Q5_1,20,Sparse tibbles,NA
R_6AKKwbysaC7EV8o,I have used tidymodels packages many times,I work in industry,Q5_2,20,Causal inference,NA
R_6AKKwbysaC7EV8o,I have used tidymodels packages many times,I work in industry,Q5_3,20,Improve chattr,NA
R_6AKKwbysaC7EV8o,I have used tidymodels packages many times,I work in industry,Q5_4,0,Cost-sensitive learning,NA
R_6AKKwbysaC7EV8o,I have used tidymodels packages many times,I work in industry,Q5_5,10,Stacking ensembles,NA
R_6AKKwbysaC7EV8o,I have used tidymodels packages many times,I work in industry,Q5_6,0,Spatial machine learning ,NA
R_6AKKwbysaC7EV8o,I have used tidymodels packages many times,I work in industry,Q5_10,30,Ordinal regression,NA
R_6AKKwbysaC7EV8o,I have used tidymodels packages many times,I work in industry,Q5_12,0,Other,NA
R_7vjxchkKtGeZU6R,I have used tidymodels packages many times,I work in industry,Q5_1,10,Sparse tibbles,NA
R_7vjxchkKtGeZU6R,I have used tidymodels packages many times,I work in industry,Q5_2,5,Causal inference,NA
R_7vjxchkKtGeZU6R,I have used tidymodels packages many times,I work in industry,Q5_3,5,Improve chattr,NA
R_7vjxchkKtGeZU6R,I have used tidymodels packages many times,I work in industry,Q5_4,10,Cost-sensitive learning,NA
R_7vjxchkKtGeZU6R,I have used tidymodels packages many times,I work in industry,Q5_5,10,Stacking ensembles,NA
R_7vjxchkKtGeZU6R,I have used tidymodels packages many times,I work in industry,Q5_6,10,Spatial machine learning ,NA
R_7vjxchkKtGeZU6R,I have used tidymodels packages many times,I work in industry,Q5_10,50,Ordinal regression,NA
R_7vjxchkKtGeZU6R,I have used tidymodels packages many times,I work in industry,Q5_12,0,Other,NA
R_2QM3YgHjdPlfLBA,I have contributed to tidymodels packages or taught others how to use them,I work in industry,Q5_1,0,Sparse tibbles,NA
R_2QM3YgHjdPlfLBA,I have contributed to tidymodels packages or taught others how to use them,I work in industry,Q5_2,0,Causal inference,NA
R_2QM3YgHjdPlfLBA,I have contributed to tidymodels packages or taught others how to use them,I work in industry,Q5_3,0,Improve chattr,NA
R_2QM3YgHjdPlfLBA,I have contributed to tidymodels packages or taught others how to use them,I work in industry,Q5_4,50,Cost-sensitive learning,NA
R_2QM3YgHjdPlfLBA,I have contributed to tidymodels packages or taught others how to use them,I work in industry,Q5_5,0,Stacking ensembles,NA
R_2QM3YgHjdPlfLBA,I have contributed to tidymodels packages or taught others how to use them,I work in industry,Q5_6,30,Spatial machine learning ,NA
R_2QM3YgHjdPlfLBA,I have contributed to tidymodels packages or taught others how to use them,I work in industry,Q5_10,20,Ordinal regression,NA
R_2QM3YgHjdPlfLBA,I have contributed to tidymodels packages or taught others how to use them,I work in industry,Q5_12,0,Other,NA
R_5pRM01kk1SWm9wJ,I have used tidymodels packages many times,I am a student,Q5_1,0,Sparse tibbles,NA
R_5pRM01kk1SWm9wJ,I have used tidymodels packages many times,I am a student,Q5_2,0,Causal inference,NA
R_5pRM01kk1SWm9wJ,I have used tidymodels packages many times,I am a student,Q5_3,40,Improve chattr,NA
R_5pRM01kk1SWm9wJ,I have used tidymodels packages many times,I am a student,Q5_4,0,Cost-sensitive learning,NA
R_5pRM01kk1SWm9wJ,I have used tidymodels packages many times,I am a student,Q5_5,60,Stacking ensembles,NA
R_5pRM01kk1SWm9wJ,I have used tidymodels packages many times,I am a student,Q5_6,0,Spatial machine learning ,NA
R_5pRM01kk1SWm9wJ,I have used tidymodels packages many times,I am a student,Q5_10,0,Ordinal regression,NA
R_5pRM01kk1SWm9wJ,I have used tidymodels packages many times,I am a student,Q5_12,0,Other,NA
R_3ECLbtz51ffWrW9,I have contributed to tidymodels packages or taught others how to use them,I work in industry,Q5_1,0,Sparse tibbles,Multi-label Classification
R_3ECLbtz51ffWrW9,I have contributed to tidymodels packages or taught others how to use them,I work in industry,Q5_2,0,Causal inference,Multi-label Classification
R_3ECLbtz51ffWrW9,I have contributed to tidymodels packages or taught others how to use them,I work in industry,Q5_3,0,Improve chattr,Multi-label Classification
R_3ECLbtz51ffWrW9,I have contributed to tidymodels packages or taught others how to use them,I work in industry,Q5_4,0,Cost-sensitive learning,Multi-label Classification
R_3ECLbtz51ffWrW9,I have contributed to tidymodels packages or taught others how to use them,I work in industry,Q5_5,0,Stacking ensembles,Multi-label Classification
R_3ECLbtz51ffWrW9,I have contributed to tidymodels packages or taught others how to use them,I work in industry,Q5_6,0,Spatial machine learning ,Multi-label Classification
R_3ECLbtz51ffWrW9,I have contributed to tidymodels packages or taught others how to use them,I work in industry,Q5_10,50,Ordinal regression,Multi-label Classification
R_3ECLbtz51ffWrW9,I have contributed to tidymodels packages or taught others how to use them,I work in industry,Q5_12,50,Other,Multi-label Classification
R_5oMvSy4888u8UOU,I have used tidymodels packages a few times,I work in industry,Q5_1,0,Sparse tibbles,NA
R_5oMvSy4888u8UOU,I have used tidymodels packages a few times,I work in industry,Q5_2,0,Causal inference,NA
R_5oMvSy4888u8UOU,I have used tidymodels packages a few times,I work in industry,Q5_3,40,Improve chattr,NA
R_5oMvSy4888u8UOU,I have used tidymodels packages a few times,I work in industry,Q5_4,20,Cost-sensitive learning,NA
R_5oMvSy4888u8UOU,I have used tidymodels packages a few times,I work in industry,Q5_5,20,Stacking ensembles,NA
R_5oMvSy4888u8UOU,I have used tidymodels packages a few times,I work in industry,Q5_6,20,Spatial machine learning ,NA
R_5oMvSy4888u8UOU,I have used tidymodels packages a few times,I work in industry,Q5_10,0,Ordinal regression,NA
R_5oMvSy4888u8UOU,I have used tidymodels packages a few times,I work in industry,Q5_12,0,Other,NA
R_1Lbc5xNCdJgf397,I have contributed to tidymodels packages or taught others how to use them,"I am an academic, professor, and/or researcher",Q5_1,0,Sparse tibbles,CI of performance metrics / Nested CV/XAI
R_1Lbc5xNCdJgf397,I have contributed to tidymodels packages or taught others how to use them,"I am an academic, professor, and/or researcher",Q5_2,20,Causal inference,CI of performance metrics / Nested CV/XAI
R_1Lbc5xNCdJgf397,I have contributed to tidymodels packages or taught others how to use them,"I am an academic, professor, and/or researcher",Q5_3,0,Improve chattr,CI of performance metrics / Nested CV/XAI
R_1Lbc5xNCdJgf397,I have contributed to tidymodels packages or taught others how to use them,"I am an academic, professor, and/or researcher",Q5_4,30,Cost-sensitive learning,CI of performance metrics / Nested CV/XAI
R_1Lbc5xNCdJgf397,I have contributed to tidymodels packages or taught others how to use them,"I am an academic, professor, and/or researcher",Q5_5,10,Stacking ensembles,CI of performance metrics / Nested CV/XAI
R_1Lbc5xNCdJgf397,I have contributed to tidymodels packages or taught others how to use them,"I am an academic, professor, and/or researcher",Q5_6,0,Spatial machine learning ,CI of performance metrics / Nested CV/XAI
R_1Lbc5xNCdJgf397,I have contributed to tidymodels packages or taught others how to use them,"I am an academic, professor, and/or researcher",Q5_10,0,Ordinal regression,CI of performance metrics / Nested CV/XAI
R_1Lbc5xNCdJgf397,I have contributed to tidymodels packages or taught others how to use them,"I am an academic, professor, and/or researcher",Q5_12,40,Other,CI of performance metrics / Nested CV/XAI
R_7fuk9vZuyTRUKvn,I have contributed to tidymodels packages or taught others how to use them,I work in industry,Q5_1,25,Sparse tibbles,NA
R_7fuk9vZuyTRUKvn,I have contributed to tidymodels packages or taught others how to use them,I work in industry,Q5_2,25,Causal inference,NA
R_7fuk9vZuyTRUKvn,I have contributed to tidymodels packages or taught others how to use them,I work in industry,Q5_3,0,Improve chattr,NA
R_7fuk9vZuyTRUKvn,I have contributed to tidymodels packages or taught others how to use them,I work in industry,Q5_4,15,Cost-sensitive learning,NA
R_7fuk9vZuyTRUKvn,I have contributed to tidymodels packages or taught others how to use them,I work in industry,Q5_5,0,Stacking ensembles,NA
R_7fuk9vZuyTRUKvn,I have contributed to tidymodels packages or taught others how to use them,I work in industry,Q5_6,25,Spatial machine learning ,NA
R_7fuk9vZuyTRUKvn,I have contributed to tidymodels packages or taught others how to use them,I work in industry,Q5_10,10,Ordinal regression,NA
R_7fuk9vZuyTRUKvn,I have contributed to tidymodels packages or taught others how to use them,I work in industry,Q5_12,0,Other,NA
R_2vka0Kl6xAX434t,I have used tidymodels packages many times,I work in industry,Q5_1,0,Sparse tibbles,NA
R_2vka0Kl6xAX434t,I have used tidymodels packages many times,I work in industry,Q5_2,40,Causal inference,NA
R_2vka0Kl6xAX434t,I have used tidymodels packages many times,I work in industry,Q5_3,0,Improve chattr,NA
R_2vka0Kl6xAX434t,I have used tidymodels packages many times,I work in industry,Q5_4,0,Cost-sensitive learning,NA
R_2vka0Kl6xAX434t,I have used tidymodels packages many times,I work in industry,Q5_5,30,Stacking ensembles,NA
R_2vka0Kl6xAX434t,I have used tidymodels packages many times,I work in industry,Q5_6,10,Spatial machine learning ,NA
R_2vka0Kl6xAX434t,I have used tidymodels packages many times,I work in industry,Q5_10,20,Ordinal regression,NA
R_2vka0Kl6xAX434t,I have used tidymodels packages many times,I work in industry,Q5_12,0,Other,NA
R_51cxWdHdcbm4ZKy,I have used tidymodels packages many times,I work in industry,Q5_1,0,Sparse tibbles,NA
R_51cxWdHdcbm4ZKy,I have used tidymodels packages many times,I work in industry,Q5_2,10,Causal inference,NA
R_51cxWdHdcbm4ZKy,I have used tidymodels packages many times,I work in industry,Q5_3,0,Improve chattr,NA
R_51cxWdHdcbm4ZKy,I have used tidymodels packages many times,I work in industry,Q5_4,0,Cost-sensitive learning,NA
R_51cxWdHdcbm4ZKy,I have used tidymodels packages many times,I work in industry,Q5_5,30,Stacking ensembles,NA
R_51cxWdHdcbm4ZKy,I have used tidymodels packages many times,I work in industry,Q5_6,0,Spatial machine learning ,NA
R_51cxWdHdcbm4ZKy,I have used tidymodels packages many times,I work in industry,Q5_10,60,Ordinal regression,NA
R_51cxWdHdcbm4ZKy,I have used tidymodels packages many times,I work in industry,Q5_12,0,Other,NA
R_75KQJqsiZNgHru9,I have used tidymodels packages a few times,I work in industry,Q5_1,15,Sparse tibbles,NA
R_75KQJqsiZNgHru9,I have used tidymodels packages a few times,I work in industry,Q5_2,60,Causal inference,NA
R_75KQJqsiZNgHru9,I have used tidymodels packages a few times,I work in industry,Q5_3,0,Improve chattr,NA
R_75KQJqsiZNgHru9,I have used tidymodels packages a few times,I work in industry,Q5_4,0,Cost-sensitive learning,NA
R_75KQJqsiZNgHru9,I have used tidymodels packages a few times,I work in industry,Q5_5,20,Stacking ensembles,NA
R_75KQJqsiZNgHru9,I have used tidymodels packages a few times,I work in industry,Q5_6,0,Spatial machine learning ,NA
R_75KQJqsiZNgHru9,I have used tidymodels packages a few times,I work in industry,Q5_10,5,Ordinal regression,NA
R_75KQJqsiZNgHru9,I have used tidymodels packages a few times,I work in industry,Q5_12,0,Other,NA
R_1PH8WbOugGayT9D,I have used tidymodels packages a few times,"I am an academic, professor, and/or researcher",Q5_1,5,Sparse tibbles,NA
R_1PH8WbOugGayT9D,I have used tidymodels packages a few times,"I am an academic, professor, and/or researcher",Q5_2,20,Causal inference,NA
R_1PH8WbOugGayT9D,I have used tidymodels packages a few times,"I am an academic, professor, and/or researcher",Q5_3,5,Improve chattr,NA
R_1PH8WbOugGayT9D,I have used tidymodels packages a few times,"I am an academic, professor, and/or researcher",Q5_4,20,Cost-sensitive learning,NA
R_1PH8WbOugGayT9D,I have used tidymodels packages a few times,"I am an academic, professor, and/or researcher",Q5_5,15,Stacking ensembles,NA
R_1PH8WbOugGayT9D,I have used tidymodels packages a few times,"I am an academic, professor, and/or researcher",Q5_6,5,Spatial machine learning ,NA
R_1PH8WbOugGayT9D,I have used tidymodels packages a few times,"I am an academic, professor, and/or researcher",Q5_10,30,Ordinal regression,NA
R_1PH8WbOugGayT9D,I have used tidymodels packages a few times,"I am an academic, professor, and/or researcher",Q5_12,0,Other,NA
R_6jUOQN7L0YgCXjQ,I have contributed to tidymodels packages or taught others how to use them,I work in industry,Q5_1,25,Sparse tibbles,NA
R_6jUOQN7L0YgCXjQ,I have contributed to tidymodels packages or taught others how to use them,I work in industry,Q5_2,0,Causal inference,NA
